A04	Centre Municipal
AOO	Altoona-Blair Cty
APA	Centennial
APC	Napa County
APF	Naples Municipal
APN	Alpena County Regional
APT	Marion County-Brown
APV	Apple Valley
AQC	Klawock SPB
AQH	Kwinhagak
AQT	Nuiqsut
AQW	Harriman And West
AQY	Girdwood
ARA	Acadiana Regional
ARB	Ann Arbor Municipal
ARC	Arctic Village
ARG	Walnut Ridge Regional
ARR	Aurora Municipal
ART	Watertown Intl
ARV	Lakeland
ASD	Slidell
ASE	Aspen-Pitkin Co/Sardy
ASG	Springdale Municipal
ASH	Boire
ASJ	Tri-County
ASL	Marshall - Harrison County
ASN	Talladega Municipal
AST	Astoria Regional
ASW	Warsaw Municipal
ASX	John F Kennedy Memorial
ATA	Hall-Miller Municipal
ATK	Atqasuk
ATL	William B Hartsfield-Atlanta Intl
ATS	Artesia Municipal
ATW	Outagamie County Regional
ATY	Watertown Municipal
AUG	Augusta State
AUH	Aurora Municipal
AUK	Alakanuk
AUM	Austin Municipal
AUN	Auburn Municipal
AUO	Auburn-Opelik
AUS	Austin-Bergstrom International
AUW	Wausau Municipal
AVC	Mecklenburg-Brunswick Regional
AVK	Alva Regional
AVL	Asheville Regional
AVO	Avon Park Municipal
AVP	Wilkes-Barre/Scranton Intl
AVQ	Marana Northwest Regional
AVX	Catalina
AWG	Washington Municipal
AWI	Wainwright
AWM	West Memphis Municipal
AWO	Arlington Municipal
AXA	Algona Municipal
AXN	Chandler
AXS	Altus Municipal
AXV	Neil Armstrong
AXX	Angel Fire
AYS	Waycross-Ware County
AZC	Colorado City Municipal
AZE	Hazelhurst
AZO	Kalamazoo County
B01	Granville
B08	Silver Springs
B16	Whitford
B19	Biddeford Municipal
B21	Sugarloaf Regional
BAF	Barnes Municipal
BAK	Columbus Municipal
BAM	Battle Mountain
BAX	Huron County Memorial
BAZ	New Braunfels Municipal
BBB	Benson Municipal
BBD	Curtis
BBP	Marlboro County
BBW	Broken Bow Municipal
BCB	Virginia Tech
BCE	Bryce Canyon
BCK	Black River Falls Area
BCT	Boca Raton
BCV	Birchwood
BDE	Baudette International
BDG	Blanding Muni
BDL	Bradley International
BDQ	Morrilton Municipal
BDR	Igor I Sikorsky Memorial
BDX	Broadus
BED	Laurence G Hanscom
BEH	Southwest Michigan Regional
BET	Bethel
BFD	Bradford Reg
BFF	Scotts Bluff County
BFI	Boeing Field/King County Intl
BFK	Buffalo Municipal
BFL	Meadows
BFM	Mobile Downtown
BFR	Virgil I Grissom Municipal
BFW	Silver Bay Municipal
BGD	Hutchinson County
BGE	Decatur County Industrial Airpark
BGF	Winchester Municipal
BGM	Binghamton Regional
BGQ	Big Lake Strip Nr 2
BGR	Bangor International
BHB	Hancock Co-Bar Harbor
BHC	Baxley Municipal
BHK	Baker Muni
BHM	Birmingham International
BID	Block Island State
BIE	Beatrice Municipal
BIG	Allen AAF
BIH	Bishop
BIL	Billings Logan Intl
BIS	Bismarck Municipal
BIV	Tulip City
BJC	Jeffco
BJI	Bemidji-Beltrami County
BJJ	Wayne County
BKD	Breckenridge Stephens County
BKE	Baker City Municipal
BKL	Burke Lakefront
BKV	Hernando County
BKW	Raleigh Cty Memorial
BKX	Brookings Municipal
BLF	Mercer Cty
BLH	Blythe
BLI	Bellingham Intl
BLM	Allaire Arpt
BLV	Scott AFB/MidAmerica
BMC	Brigham City
BMG	Monroe County
BMI	Central Illinois Regional
BML	Berlin Municipal
BMQ	Burnet Muni-Kate Craddock
BMT	Beaumont Municipal
BNA	Nashville International
BNF	Baranof Warm Springs SPB
BNG	Banning Municipal
BNL	Barnwell County
BNO	Burns Muni
BNW	Boone Municipal
BOI	Boise Air Terminal
BOK	Brookings
BOS	Gen Edw L Logan Intl
BOW	Bartow Municipal
BPI	Big Piney-Marbleton
BPK	Baxter County Regional
BPT	Southeast Texas Regional
BQK	Glynco Jetport
BQN	Rafael Hernandez
BRD	Brainerd-Crow Wing County Regional
BRL	Burlington Municipal
BRO	Brownsville/S.Padre Island International
BRW	Wiley Post Will Rogers Memorial
BRY	Samuels
BST	Belfast Municipal
BTI	Barter Island
BTL	W K Kellogg Regional
BTM	Bert Mooney
BTN	Britton Municipal
BTP	Butler Cty
BTR	Baton Rouge Metropolitan, Ryan
BTT	Bettles
BTV	Burlington International
BTY	Beatty
BUB	Cram
BUF	Buffalo Niagara Intl
BUM	Butler Memorial
BUR	Burbank-Glendale-Pasadena
BUY	Burlington Municipal
BVI	Beaver County
BVK	Buckland
BVN	Albion Municipal
BVO	Bartlesville Municipal
BVS	Skagit Regional/Bay View
BVX	Batesville Regional
BVY	Beverly Municipal
BWC	Brawley Municipal
BWD	Brownwood Municipal
BWG	Bowling Green-Warren County
BWI	Baltimore-Washington International
BWP	Harry Stern
BXA	George R Carr Memorial
BXG	Burke County
BXK	Buckeye Municipal
BYA	Boundary
BYG	Johnson County
BYI	Burley Municipal
BZN	Gallatin
C00	Mercer County
C05	Chenega Bay
C09	Morris Municipal
C15	Pekin Municipal
C17	Marion
C18	Frankfort
C25	Waverly Municipal
C29	Morey
C34	Gibson City Municipal
C35	Reedsburg Municipal
C47	Portage Municipal
C52	Burlington Municipal
C56	Sanger
C62	Kendallville Municipal
C65	Plymouth Municipal
C66	Monmouth Municipal
C71	Crosby Municipal
C73	Dixon Muni-Charles R Walgreen
C75	Marshall County
C77	Poplar Grove
C80	New Coalinga Municipal
C81	Campbell
C83	Byron
C91	Dowagiac Municipal
CAD	Wexford County
CAE	Columbia Metropolitan
CAG	Craig-Moffat
CAK	Akron-Canton Regional
CAO	Clayton Municipal Airpark
CAR	Caribou Municipal
CAV	Clarion Municipal
CBE	Cumberland Regional
CBF	Council Bluffs Municipal
CBG	Cambridge Municipal
CBK	Shaltz
CCB	Cable
CCO	Newnan-Coweta County
CCR	Buchanan
CCY	Charles City Municipal
CDB	Cold Bay
CDC	Cedar City Muni
CDH	Harrell
CDI	Cambridge Municipal
CDK	George T Lewis
CDN	Woodward
CDR	Chadron Municipal
CDV	Merle K (Mudhole) Smith
CDW	Essex Cty Arpt
CEC	Jack McNamara
CEF	Westover AFB
CEK	Crete Municipal
CEM	Central
CEU	Oconee County Regional
CEV	Mettel
CEW	Bob Sikes
CEY	Kyle-Oakley
CEZ	Cortez Muni
CFD	Coulter
CFJ	Crawfordsville Municipal
CFK	Chefornak
CFT	Greenlee County
CFV	Coffeyville Municipal
CGA	Craig SPB
CGC	Crystal River
CGE	Cambridge-Dorchester
CGF	Cuyahoga County
CGI	Cape Girardeau Municipal
CGS	College Park
CGX	Chicago Meigs
CGZ	Casa Grande Municipal
CHA	Lovell
CHD	Chandler Municipal
CHK	Chickasha Municipal
CHO	Charlottesville-Albermarle
CHP	Circle Hot Springs
CHS	Charleston AFB/International
CHT	Chillicothe Municipal
CHU	Houston County
CIC	Chico Municipal
CID	Eastern Iowa
CII	Choteau
CIK	Chalkyitsik
CIN	Arthur N Neu
CIR	Cairo
CIU	Chippewa County International
CJR	Culpeper Regional
CJX	Crooked Creek
CKB	Benedum
CKC	Grand Marais/Cook County
CKF	Crisp County - Cordele
CKI	Williamsburg County
CKM	Fletcher
CKN	Crookston Muni Kirkwood
CKP	Cherokee Municipal
CKU	Cordova Muni
CKV	Outlaw
CKX	Chicken
CLD	MC Clellan-Palomar Airport
CLE	Cleveland-Hopkins Intl
CLI	Clintonville Municipal
CLK	Clinton Municipal
CLL	Easterwood
CLM	William R Fairchild Intl
CLP	Clarks Point
CLS	Chehalis-Centralia
CLT	Charlotte/Douglas International
CLW	Clearwater Air Park
CMA	Camarillo
CMH	Port Columbus Intl
CMI	University of Illinois-Willard
CMX	Houghton County Memorial
CMY	Sparta/Fort McCoy
CNC	Chariton Municipal
CNH	Claremont Municipal
CNK	Blosser Municipal
CNM	Cavern City Air Terminal
CNO	Chino
CNP	Billy G Ray
CNU	Chanute Martin Johnson
CNW	TSTC-Waco
CNY	Canyonlands
COD	Yellowstone Regional
COE	Coeur D'Alene Air Terminal
COI	Merritt Island
COM	Coleman Municipal
CON	Concord Municipal
COQ	Cloquet-Carlton County
COS	City of Colorado Springs Muni
COT	Cotulla-Lasalle County
COU	Columbia Regional
CPC	Columbus County Municipal
CPK	Chesapeake Municipal
CPM	Compton/Woodley
CPR	Natrona County Intl
CPS	St. Louis Downtown
CPX	Benjamin Rivera Noriega
CQA	Lakefield
CQB	Chandler Municipal
CQX	Chatham Municipal
CRC	Circle City
CRE	Grand Strand
CRG	Craig Municipal
CRO	Corcoran
CRP	Corpus Christi International
CRQ	McClellan-Palomar
CRS	C Davis Campbell -Corsicana Muni
CRT	Crossett Municipal
CRW	Yeager
CRX	Roscoe Turner
CSB	Cambridge Municipal
CSG	Columbus Metropolitan
CSM	Clinton-Sherman
CSQ	Creston Municipal
CSV	Crossville Memorial
CTB	Cut Bank Muni
CTJ	West Georgia Regional
CTK	Ingersoll
CTY	Cross City
CTZ	Sampson County
CUB	Columbia Owens Downtown
CUH	Cushing Municipal
CUL	Carmi Municipal
CUT	Custer County
CVG	Cincinnati Northern Kentucky Intl
CVK	Sharp County Regional
CVN	Clovis Municipal
CVO	Corvallis Muni
CVX	Charlevoix Municipal
CWA	Central Wisconsin
CWF	Chennault International
CWI	Clinton Municipal
CWV	Claxton-Evans County
CXC	Chitina
CXE	Chase City Municipal
CXF	Coldfoot
CXL	Calexico International
CXO	Montgomery County
CXP	Carson
CXU	Camilla-Mitchell County
CXY	Capital City
CYO	Pickaway County Memorial
CYS	Cheyenne
CYW	Clay Center Municipal
CZD	Cozad Municipal
CZG	Tri-Cities
CZL	Tom B David
CZN	Chisana
CZT	Dimmit County
D04	Bowman Municipal
D05	Garrison Municipal
D07	Faith Municipal
D09	Bottineau Municipal
D19	Quentin Aanenson
D22	Angola
D25	Manitowish Waters
D38	Canandaiga
D42	Springfield Municipal
D50	Crosby Municipal
D55	Robertson
D57	Glen Ullin Municipal
D60	Tioga Municipal
D73	Monroe-Walton County
D77	Lancaster
D87	Harbor Springs
D95	Dupont-Lapeer
D98	Romeo
DAB	Daytona Beach International
DAG	Barstow-Daggett
DAL	Dallas Love
DAN	Danville Regional
DAW	Skyhaven
DAY	James M Cox Dayton Intl
DBN	W. H. 'Bud' Barron
DBQ	Dubuque Municipal
DCA	Ronald Reagan Washington National
DCK	Dahl Creek
DCU	Pryor  Regional
DCY	Daviess County
DDC	Dodge City Regional
DDH	William H. Morse State
DEC	Decatur
DED	Deland Municipal-Taylor
DEE	Deering
DEH	Decorah Municipal
DEN	Denver Intl
DEQ	J Lynn Helms Sevier County
DET	Detroit City
DEW	Deer Park
DFI	Defiance Memorial
DFW	Dallas-Fort Worth International
DGW	Converse County
DHN	Dothan
DHT	Dalhart Municipal
DIK	Dickinson Municipal
DKB	Dekalb-Taylor Municipal
DKK	Dunkirk Municipal
DKX	Knoxville Downtown Island
DLG	Dillingham
DLH	Duluth International
DLL	Baraboo - Wisconsin Dells
DLN	Dillon
DLO	Delano Municipal
DLS	Columbia Gorge Regional
DLZ	Delaware Municipal
DM2	Diomede Heliport
DMN	Deming Municipal
DMO	Sedalia Memorial
DMW	Carroll County
DNL	Daniel
DNN	Dalton Municipal
DNS	Denison Municipal
DNV	Vermilion County
DOV	Dover Air Force Base
DPA	Du Page
DPL	P B Raiford
DQH	Douglas Municipal
DRI	Beauregard Parish
DRO	Durango-La Plata County
DRT	Del Rio International
DSM	Des Moines International
DSV	Dansville Muni
DTA	Delta Municipal
DTL	Detroit Lakes -Wething
DTN	Shreveport Downtown
DTO	Denton Municipal
DTS	Destin-Ft. Walton Beach
DTW	Detroit Metropolitan-Wayne County
DUA	Eaker
DUC	Halliburton
DUG	Bisbee Douglas International
DUJ	Du Bois-Jefferson Cty
DUT	Unalaska
DUX	Moore County
DUY	Kongiganak
DVK	Stuart Powell
DVL	Devils Lake Municipal-Knoke
DVN	Davenport Municipal
DVO	Gnoss
DVT	Phoenix-Deer Valley
DWH	David Wayne Hooks Memorial
DWU	Ashland-Boyd County
DXE	Dexter Municipal
DXR	Danbury Municipal
DXX	Madison-Lac Qui Parle County
DYB	Summerville
DYL	Doylestown
DYR	Dyersburg Municipal
DYT	Sky Harbor
E01	Monahans-Roy Hurd Memorial
E04	Eunice
E05	Hatch Muni
E06	Lea County-Zip Franklin Memorial
E07	Lea County/Tatum
E11	Andrews County
E15	Graham Municipal
E19	Gruver Municipal
E24	Whiteriver
E25	Wickenburg Municipal
E26	Lea County
E35	Fabens
E38	Alpine-Casparis Municipal
E42	Spearman Municipal
E51	Bagdad
E52	Oldham County
E60	Eloy Municipal
E63	Gila Bend Municipal
E80	Alexander Municipal
E89	Conchas State Park
E91	Chinle Municipal
E94	Glenwood-Catron County
E95	Benson Municipal
EAA	Eagle
EAN	Phifer Airfield
EAR	Kearney Municipal
EAT	Pangborn Memorial
EAU	Chippewa Valley Regional
EBS	Webster City Municipal
ECG	Elizabeth City CG Air Station/Municipal
ECS	Mondell
EDE	Edenton Municipal
EDN	Enterprise Municipal
EED	Needles
EEK	Eek
EEN	Dillant-Hopkins
EEO	Meeker
EET	Shelby County
EFC	Belle Fourche Municipal
EFD	Ellington
EFK	Newport State
EFT	Monroe Municipal
EFW	Jefferson Municipal
EGE	Eagle County Regional
EGQ	Emmetsburg Municipal
EGT	Wellington Municipal
EGV	Eagle River Union
EHA	Elkhart-Morton County
EHO	Shelby Municipal
EHR	Henderson City-County
EII	Egegik
EIW	County Memorial
EKA	Murray
EKM	Elkhart Municipal
EKN	Elkins-Randolph Co-Jennings Randolph
EKO	Elko Regional
EKQ	Wayne County
EKX	Elizabethtown
EKY	Bessemer Municipal
ELA	Eagle Lake Municipal
ELD	South Arkansas Regional At Goodwin
ELI	Elim
ELK	Elk City Municipal
ELM	Elmira/Corning Regional
ELN	Bowers
ELO	Ely Municipal
ELP	El Paso International
ELV	Elfin Cove SPB
ELY	Ely Arpt (Yelland )
ELZ	Wellsville Muni Tarantine
EMM	Kemmerer Municipal
EMP	Emporia Municipal
EMT	El Monte
EMV	Emporia-Greensville Regional
ENA	Kenai Municipal
ENL	Centralia Municipal
ENM	Emmonak
ENN	Nenana Municipal
ENV	Wendover
ENW	Kenosha Regional
EOK	Keokuk Municipal
EOS	Neosho Memorial
EPH	Ephrata Muni
EPM	Eastport Municipal
EQA	Captain Jack Thomas
EQY	Monroe
ERI	Erie Intl
ERV	Kerrville Muni/Louis Schreiner
ERY	Luce County Hale
ESC	Delta County
ESF	Esler Regional
ESN	Easton /Newnam
EST	Estherville Municipal
ETB	West Bend Municipal
ETC	Edgecombe County
ETH	Wheaton Municipal
ETN	Eastland Municipal
EUF	Weedon
EUG	Mahlon Sweet
EUL	Caldwell Industrial
EVB	New Smyrna Beach Municipal
EVM	Eveleth-Virginia Muni
EVU	Maryville Memorial
EVV	Evansville Regional
EVW	Evanston-Uinta County Burns
EVY	Summit Airpark
EWB	New Bedford Municipal
EWK	Newton-City-County
EWN	Craven County Regional
EWR	Newark Intl
EWU	Newtok
EXI	Excursion Inlet SPB
EXX	Davidson County
EYE	Eagle Creek Airpark
EYW	Key West International
EZI	Kewanee Municipal
EZM	Eastman-Dodge County
EZZ	Cameron Memorial
F00	Jones
F01	Quanah Municipal
F05	Vernon - Wilbarger County
F06	Marian Airpark
F08	Eufaula Municipal
F10	Henryetta Municipal
F12	Rusk County
F17	Center Municipal
F18	Cleburne Municipal
F21	Memphis Municipal
F22	Perry Municipal
F24	Minden-Webster
F28	El Reno Municipal
F29	Clarence E. Page Municipal
F30	Sulphur Municipal
F31	Lake Texoma State Park
F32	Healdton Municipal
F36	Cordell Municipal
F37	Wauchula Municipal
F39	Grayson County
F41	Ennis Municipal
F44	Athens Jones Municipal
F45	North Palm Beach County General Aviation
F46	Rockwall Municipal
F49	Slaton Municipal
F51	Winnsboro Municipal
F53	Franklin County
F55	Granbury Municipal
F56	Arledge
F70	French Valley
F80	Atoka Municipal
F81	Okemah Flying
F84	Stigler Municipal
F85	Morton-Cochran County
F87	Farmerville
F88	Jonesboro
F89	Winnsboro Municipal
F91	Thomas P Stafford
F99	Holdenville Municipal
FAI	Fairbanks International
FAM	Farmington Regional
FAQ	Fitiuta
FAR	Hector International
FAT	Fresno Yosemite International
FAY	Fayetteville Municipal
FBL	Faribault Municipal
FBR	Fort Bridger
FBY	Fairbury Municipal
FCA	Glacier Park Intl
FCH	Fresno-Chandler Downtown
FCI	Chesterfield County
FCM	Flying Cloud
FCY	Forrest City Municipal
FDK	Frederick Municipal
FDR	Frederick Municipal
FDW	Fairfield County
FDY	Findlay
FEP	Albertus
FET	Fremont Municipal
FFA	First Flight
FFC	Peachtree City - Falcon
FFL	Fairfield Municipal
FFM	Fergus Falls Muni-Einar Mickelson
FFT	Capital City
FFZ	Falcon
FGX	Fleming-Mason
FHR	Friday Harbor
FHU	Libby AAF-Sierra Vista Municipal
FIG	Clearfield-Lawrence
FIT	Fitchburg Municipal
FKL	Chess-Lamberton
FKN	Franklin Municipal-John Beverly Rose
FKR	Frankfort Municipal
FLD	Fond Du Lac County
FLG	Flagstaff Pulliam
FLL	Fort Lauderdale-Hollywood Int'l
FLO	Florence Regional
FLP	Marion County Regional
FLT	Flat
FLX	Fallon Municipal
FME	Tipton
FMN	Four Corners Regional
FMY	Page
FMZ	Fairmont State
FNB	Brenner
FNL	Fort Collins-Loveland
FNR	Funter Bay SPB
FNT	Bishop
FOA	Flora
FOD	Fort Dodge Municipal
FOE	Forbes
FOK	Francis Gabreski
FOT	Rohnerville
FPR	St. Lucie County International
FQD	Rutherford County-Marchman
FRG	Republic
FRH	French Lick Municipal
FRM	Fairmont Municipal
FRR	Front Royal-Warren County
FSD	Joe Foss
FSE	Fosston Municipal
FSK	Fort Scott Municipal
FSM	Fort Smith Regional
FSO	Franklin County State
FST	Fort Stockton - Pecos County
FSU	Fort Sumner Municipal
FSW	Fort Madison Municipal
FTG	Front Range
FTT	Elton Hensley Memorial
FTW	Fort Worth Meacham International
FTY	Fulton County - Brown
FUL	Fullerton Municipal
FVE	Northern Aroostook Regional
FVX	Farmville Municipal
FWA	Fort Wayne International
FWC	Fairfield Municipal
FWN	Sussex
FWS	Spinks
FXE	Fort Lauderdale Executive
FXY	Forest City Municipal
FYE	Fayette County
FYM	Fayetteville Municipal
FYU	Fort Yukon
FYV	Fayetteville Municipal
FZG	Fitzgerald Municipal
FZI	Fostoria Metropolitan
FZY	Oswego Cty
GAB	Gabbs
GAD	Gadsden Municipal
GAF	Grafton Municipal
GAG	Gage
GAI	Montgomery Co Airpark
GAL	Edward G. Pitka Sr.
GAM	Gambell
GAS	Gallia - Meigs Regional
GBD	Great Bend Municipal
GBG	Galesburg Municipal
GBH	Galbraith Lake
GBR	Great Barrington
GCC	Gillette-Campbell County
GCK	Garden City Regional
GCM	Claremore Regional
GCN	Grand Canyon National Park
GCT	Guthrie County Regional
GCY	Greeneville Municipal
GDM	Gardner Municipal
GDV	Dawson Community
GDW	Gladwin
GDY	Grundy Municipal
GED	Sussex Cty Arpt
GEG	Spokane Intl
GEO	Brown County
GEU	Glendale Municipal
GEY	South Big Horn County
GEZ	Shelbyville Municipal
GFK	Grand Forks International
GFL	Floyd D. Bennett
GFZ	Greenfield Municipal
GGE	Georgetown County
GGF	Grant Municipal
GGG	Gregg County
GGI	Grinnell Municipal
GGP	Logansport Municipal
GGW	Wokal Field/Glasgow Intl
GHM	Centerville Municipal
GHW	Glenwood Municipal
GIF	Winter Havens Gilbert
GJT	Walker
GKJ	Port Meadville
GKN	Gulkana
GKT	Gatlinburg-Pigeon Forge
GKY	Arlington Municipal
GLD	Renner Field/Goodland Municipal
GLE	Gainesville Municipal
GLH	Mid Delta Regional
GLR	Otsego County
GLS	Galveston-Scholes
GLW	Glasgow Municipal
GLY	Clinton Memorial
GMJ	Grove Municipal
GMU	Greenville Downtown
GNB	Granby-Grand County
GNF	Grenada Municipal
GNG	Gooding Municipal
GNT	Grants-Milan Municipal
GNU	Goodnews
GNV	Gainesville Regional
GOK	Guthrie Municipal
GON	Groton-New London
GPH	Clay County Regional
GPM	Grand Prairie Municipal
GPT	Gulfport-Biloxi Regional
GPZ	Grand Rapids-Itasca County
GQQ	Galion Municipal
GRB	Austin Straubel International
GRD	Greenwood County
GRE	Greenville
GRI	Central Nebraska Regional
GRK	Robert Gray AAF
GRN	Gordon Municipal
GRO	Rota International
GRR	Kent County International
GSH	Goshen Municipal
GSN	Saipan International
GSO	Piedmont Triad International
GSP	Greenville-Spartanburg
GST	Gustavus
GTF	Great Falls Intl
GTR	Golden Triangle Regional
GTU	Georgetown Municipal
GUC	Gunnison County
GUM	Guam International
GUP	Gallup Municipal
GUY	Guymon Municipal
GVL	Lee Gilmer Memorial
GVQ	Genesee Cty
GVT	Majors
GWO	Greenwood-Leflore
GWR	Gwinner-Roger Melroe
GWW	Goldsboro-Wayne Municipal
GXY	Greeley-Weld County
GYH	Donaldson Center
GYR	Phoenix Goodyear
GYY	Gary/Chicago
GZH	Middleton
GZS	Abernathy
H04	Vinita Municipal
H05	Wilburton Municipal
H19	Bowling Green Municipal
H21	Camdenton Memorial
H30	Hamilton Municipal
H35	Clarksville Municipal
H41	Memorial
H45	Seminole Municipal
H66	Nowata Municipal
H71	Mid-America Industrial
H79	Eldon Model Airpark
H88	Municipal
H92	Hominy
H96	Benton Municipal
H97	Pawnee Municipal
HAB	Marion County
HAE	Hannibal Municipal
HAF	Half Moon Bay
HAI	Three Rivers Municipal
HAO	Hamilton-Fairfield
HAY	Haycock
HBC	Mohall Municipal
HBG	Bobby L. Chain Municipal
HBR	Hobart Municipal
HBV	Jim Hogg County
HBZ	Heber Springs Municipal
HCD	Hutchinson Municipal
HCO	Hallock Municipal
HDC	Hammond Municipal
HDE	Brewster
HDH	Dillingham Airfield
HDI	Hardwick
HDN	Yampa Valley
HDO	Hondo Municipal
HEE	Thompson-Robbins
HEF	Manassas Reg./Harry P Davis
HEI	Hettinger Municipal
HEQ	Holyoke
HEZ	Natchez-Adams County
HFD	Hartford Brainard
HFY	Greenwood Municipal
HGR	Hagerstown Regional-Richard Henson
HHF	Hemphill County
HHG	Huntington Municipal
HHH	Hilton Head
HHR	Jack Northrop Field/Hawthorne Municipal
HHW	Stan Stamper Municipal
HIB	Chisholm-Hibbing
HIE	Mt Washington Regional
HIG	Higginsville Industrial Municipal
HII	Lake Havasu City
HIO	Portland-Hillsboro
HJH	Hebron Municipal
HJO	Hanford Municipal
HKA	Blytheville Municipal
HKS	Hawkins
HKY	Hickory Municipal
HLC	Hill City Municipal
HLG	Wheeling-Ohio Cty
HLN	Helena Regional
HLX	Twin County
HMT	Hemet-Ryan
HMZ	Bedford County
HNB	Huntingburg
HNH	Hoonah
HNL	Honolulu International
HNM	Hana
HNR	Harlan Municipal
HNS	Haines
HNZ	Henderson-Oxford
HOB	Lea County Regional
HOC	Highland County
HOE	Homerville
HOM	Homer
HON	Huron Regional
HOT	Memorial
HOU	William P Hobby
HPB	Hooper Bay
HPN	Westchester Cty
HPT	Hampton Municipal
HQG	Hugoton Municipal
HQM	Bowerman
HQU	Thomson-McDuffie County
HQZ	Mesquite Metro
HRI	Hermiston Muni
HRL	Valley International
HRO	Boone County
HRR	Healy River
HRU	Herington Municipal
HRX	Hereford Municipal
HSA	Stennis International
HSB	Harrisburg-Raleigh
HSE	Billy Mitchell
HSI	Hastings Municipal
HSL	Huslia
HSP	Ingalls
HSR	Hot Springs Municipal
HSV	Huntsville International
HTH	Hawthorne Municipal
HTL	Roscommon County
HTO	East Hampton
HTS	Tri-State/Walker-Long
HTW	Lawrence County Airpark,Inc
HUF	Terre Haute International-Hulman
HUL	Houlton International
HUM	Houma-Terrebonne
HUS	Hughes
HUT	Hutchinson Municipal
HVC	Hopkinsville-Christian County
HVE	Hanksville
HVN	Tweed-New Haven
HVR	Havre City-County
HVS	Hartsville Municipal
HWD	Hayward Executive
HWI	Hawk Inlet SPB
HWO	North Perry
HWQ	Wheatland County  At Harlowton
HWV	Brookhaven
HXD	Hilton Head
HXF	Hartford Municipal
HYA	Barnstable Mun Boardman/Polando
HYG	Hydaburg SPB
HYI	San Marcos Municipal
HYL	Hollis SPB
HYR	Sawyer County
HYS	Hays Municipal
HYW	Conway-Horry County
HZD	Carroll County
HZE	Mercer County Regional
HZL	Hazleton Muni
HZR	False River Air Park
HZY	Ashtabula County
I05	Sturgis Municipal
I12	Sidney Municipal
I16	Kee
I18	Jackson County
I19	Greene County
I22	Randolph County
I23	Fayette County
I25	Welch Muni
I32	Morehead-Rowan County
I34	Greensburg-Decatur County
I35	Tucker-Guthrie Memorial
I39	Madison County
I40	Richard Downing
I42	Paoli Municipal
I43	James A Rhodes
I50	Stanton
I57	Pike County
I63	Mt. Sterling Municipal
I66	Clinton
I67	Cincinnati West
I68	Lebanon-Warren County
I69	Clermont County
I74	Grimes
I75	Osceola Municipal
I76	Peru Municipal
I78	Union County
I83	Salem Municipal
I86	Perry County
I88	Pontiac Municipal
I93	Breckinridge County
I95	Hardin County
IAD	Washington Dulles International
IAG	Niagara Falls Intl
IAH	George Bush Intercontinental
IAN	Bob Baker Memorial
IBM	Robert E. Arraj
ICL	Schenck
ICT	Wichita Mid-Continent
IDA	Idaho Falls Regional
IDI	Indiana Cty/Jimmy Stewart
